x				Avg	std dev	c	t
1	1.052652908	0	0.444237322	1.041145666	0.088847464	0.044423732	0.444237322
2	1.100742151	0.015172753	0.444237322				
3	1.135412849	0.065016205	0.444237322				
4	1.110337845	0.089784652	0.444237322				
5	1.025230624	0.029445879	0.444237322				
6	1.025837928	0	0.444237322				
7	0.916560143	0	0.444237322				
8	1.063524978	0	0.444237322				
9	1.02695319	0	0.444237322				
10	1.064366457	0	0.444237322				
11	1.028070879	0	0.444237322				
12	1.077453054	0	0.444237322				
13	1.053173972	0	0.444237322				
14	1.101177658	0.01560826	0.444237322				
15	1.112532623	0.042571485	0.444237322				
16	1.112312754	0.069314841	0.444237322				
17	1.087221722	0.070967166	0.444237322				
18	1.086363446	0.071761214	0.444237322				
19	1.085292504	0.07148432	0.444237322				
20	1.096190047	0.08210497	0.444237322				
21	1.082305069	0.078840641	0.444237322				
22	1.020397955	0.013669198	0.444237322				
23	1.057983607	0	0.444237322				
24	1.070565323	0	0.444237322				
25	1.082943848	0	0.444237322				
26	1.085185526	0	0.444237322				
27	1.111105032	0.025535634	0.444237322				
28	1.112752578	0.052718814	0.444237322				
29	1.08905007	0.056199486	0.444237322				
30	1.076281215	0.046911303	0.444237322				
31	0.878682409	0	0.444237322				
32	0.975447664	0	0.444237322				
33	1.024119099	0	0.444237322				
34	1.073839223	0	0.444237322				
35	1.085185526	0	0.444237322				
36	1.071408288	0	0.444237322				
37	1.020899231	0	0.444237322				
38	1.018697292	0	0.444237322				
39	0.96980758	0	0.444237322				
40	0.884083009	0	0.444237322				
41	0.967910461	0	0.444237322				
42	1.039182406	0	0.444237322				
43	1.062311721	0	0.444237322				
44	1.061586523	0	0.444237322				
45	1.050650127	0	0.444237322				
46	1.064597379	0	0.444237322				
47	1.103372385	0.017802988	0.444237322				
48	1.105105544	0.037339134	0.444237322				
49	1.081029768	0.032799505	0.444237322				
50	1.080393244	0.027623351	0.444237322				
51	1.068044369	0.010098322	0.444237322				
52	0.996102766	0	0.444237322				
53	0.961453915	0	0.444237322				
54	0.986376797	0	0.444237322				
55	0.999636786	0	0.444237322				
56	1.023816374	0	0.444237322				
57	1.060799334	0	0.444237322				
58	1.099329132	0.013759734	0.444237322				
59	1.102158808	0.030349144	0.444237322				
60	1.116394434	0.06117418	0.444237322				
61	1.118168777	0.093773559	0.444237322				
62	1.034320571	0.042524732	0.444237322				
63	0.962169815	0	0.444237322				
64	0.878577919	0	0.444237322				
65	1.047479973	0	0.444237322				
66	1.011261545	0	0.444237322				
67	1.04788795	0	0.444237322				
68	1.072917568	0	0.444237322				
69	1.074803003	0	0.444237322				
70	1.075222889	0	0.444237322				
71	1.100352402	0.014783004	0.444237322				
72	1.016305984	0	0.444237322				
73	1.041114728	0	0.444237322				
74	1.06563957	0	0.444237322				
75	0.945191873	0	0.444237322				
76	0.957591141	0	0.444237322				
77	1.041522449	0	0.444237322				
78	0.993079544	0	0.444237322				
79	0.993760602	0	0.444237322				
80	0.94584047	0	0.444237322				
81	0.958624445	0	0.444237322				
82	0.959471536	0	0.444237322				
83	0.947512387	0	0.444237322				
84	0.98501922	0	0.444237322				
85	1.021903263	0	0.444237322				
86	1.02240602	0	0.444237322				
87	1.058399808	0	0.444237322				
88	1.021401	0	0.444237322				
89	0.959754232	0	0.444237322				
90	0.910086498	0	0.444237322				
91	0.873768753	0	0.444237322				
92	0.776911996	0	0.444237322				
93	0.802371612	0	0.444237322				
94	0.875830946	0	0.444237322				
95	1.02240602	0	0.444237322				
96	0.851669812	0	0.444237322				
97	0.803160959	0	0.444237322				
98	0.779206028	0	0.444237322				
99	0.730793365	0	0.444237322				
100	0.950686633	0	0.444237322				
101	0.853516706	0	0.444237322				
102	0.879376471	0	0.444237322				
103	0.843485327	0	0.444237322				
104	0.843652073	0	0.444237322				
105	0.892383027	0	0.444237322				
106	0.965347979	0	0.444237322				
107	0.989689402	0	0.444237322				
108	0.977567574	0	0.444237322				
109	1.00190779	0	0.444237322				
110	0.806413587	0	0.444237322				
111	0.76991052	0	0.444237322				
112	0.831096637	0	0.444237322				
113	0.965634149	0	0.444237322				
114	0.990863875	0	0.444237322				
115	0.845072082	0	0.444237322				
116	0.894947854	0	0.444237322				
117	0.895746836	0	0.444237322				
118	0.920287845	0	0.444237322				
119	0.920379143	0	0.444237322				
120	0.993418154	0	0.444237322				
121	1.005283891	0	0.444237322				
122	1.004985085	0	0.444237322				
123	0.992041139	0	0.444237322				
124	1.04951109	0	0.444237322				
125	1.099690233	0.014120835	0.444237322				
126	1.135436303	0.063987741	0.444237322				
127	1.110496038	0.088914381	0.444237322				
128	1.0252339	0.028578884	0.444237322				
129	1.025723774	0	0.444237322				
130	0.91639951	0	0.444237322				
131	1.063400531	0	0.444237322				
132	1.026898004	0	0.444237322				
133	1.064202927	0	0.444237322				
134	1.027937698	0	0.444237322				
135	1.077323264	0	0.444237322				
136	1.053094226	0	0.444237322				
137	1.10136308	0.015793682	0.444237322				
138	1.112799454	0.043023738	0.444237322				
139	1.112471842	0.069926183	0.444237322				
140	1.087427074	0.071783858	0.444237322				
141	1.08663211	0.072846571	0.444237322				
142	1.085629357	0.07290653	0.444237322				
143	1.096601204	0.083938336	0.444237322				
144	1.082825931	0.081194869	0.444237322				
145	1.020824895	0.016450367	0.444237322				
146	1.057923937	0	0.444237322				
147	1.070466464	0	0.444237322				
148	1.082873572	0	0.444237322				
149	1.084702456	0	0.444237322				
150	1.11060994	0.025040542	0.444237322				
151	1.112233173	0.051704317	0.444237322				
152	1.08871254	0.054847459	0.444237322				
